GPU: 0,1,2,3
Loading path...
Save name: demo
Save best test: False
Save later: False
Loading dataset...
Group length: 1
DataSet: PACS
Source domain: ['art_painting', 'cartoon', 'photo']
Target domain: ['sketch']
Known classes: ['dog', 'elephant', 'giraffe', 'guitar', 'horse', 'house', 'person']
Unknown classes: []
Batch size: 16
Number of task(domain): 3
Number of task(class): 3
Tasks per step: [3, 3, 3]
CrossVal: True
Loading models...
Model wrapped with nn.DataParallel for 4 GPUs.
为扩散模型创建了 SGD 优化器，学习率: 0.0001。
Network: resnet18
Number of epoch: 6000
Optimize method: SGD
Learning rate: 0.0002
Meta learning rate: 0.01
Without close set classifier: False
Without binary classifier: False
Share Parameter: False
Start training...
Loading pre-trained weights from: ./experiment/model/val/pacs_resnet18.tar
Loaded state_dict with strict=False. Found 80 missing keys (expected for diffusion model).
Freezing feature extractor (net.net)...
Extracting target weights for diffusion model training...
Start training diffusion models...
Epoch [106/6000], Average Denoising Loss: 2.0028
Epoch [107/6000], Average Denoising Loss: 1.9777
Epoch [108/6000], Average Denoising Loss: 2.0214
Epoch [109/6000], Average Denoising Loss: 1.9890
Epoch [110/6000], Average Denoising Loss: 1.9874
Epoch [111/6000], Average Denoising Loss: 2.0120
Epoch [112/6000], Average Denoising Loss: 1.9716
Epoch [113/6000], Average Denoising Loss: 2.0061
Epoch [114/6000], Average Denoising Loss: 1.9993
Epoch [115/6000], Average Denoising Loss: 2.0273
Epoch [116/6000], Average Denoising Loss: 2.0256
Epoch [117/6000], Average Denoising Loss: 2.0269
Epoch [118/6000], Average Denoising Loss: 2.0108
Epoch [119/6000], Average Denoising Loss: 1.9984
Epoch [120/6000], Average Denoising Loss: 1.9837
Epoch [121/6000], Average Denoising Loss: 2.0079
Epoch [122/6000], Average Denoising Loss: 1.9661
Epoch [123/6000], Average Denoising Loss: 1.9923
Epoch [124/6000], Average Denoising Loss: 1.9804
Epoch [125/6000], Average Denoising Loss: 2.0220
Epoch [126/6000], Average Denoising Loss: 2.0067
Epoch [127/6000], Average Denoising Loss: 2.0022
Epoch [128/6000], Average Denoising Loss: 1.9818
Epoch [129/6000], Average Denoising Loss: 2.0152
Epoch [130/6000], Average Denoising Loss: 2.0285
Epoch [131/6000], Average Denoising Loss: 2.0045
Epoch [132/6000], Average Denoising Loss: 1.9991
Epoch [133/6000], Average Denoising Loss: 1.9912
Epoch [134/6000], Average Denoising Loss: 2.0004
Epoch [135/6000], Average Denoising Loss: 2.0260
Epoch [136/6000], Average Denoising Loss: 1.9933
Epoch [137/6000], Average Denoising Loss: 2.0006
Epoch [138/6000], Average Denoising Loss: 2.0063
Epoch [139/6000], Average Denoising Loss: 2.0180
Epoch [140/6000], Average Denoising Loss: 2.0261
Epoch [141/6000], Average Denoising Loss: 2.0191
Epoch [142/6000], Average Denoising Loss: 1.9969
Epoch [143/6000], Average Denoising Loss: 1.9976
Epoch [144/6000], Average Denoising Loss: 1.9974
Epoch [145/6000], Average Denoising Loss: 1.9929
Epoch [146/6000], Average Denoising Loss: 1.9759
Epoch [147/6000], Average Denoising Loss: 1.9872
Epoch [148/6000], Average Denoising Loss: 1.9898
Epoch [149/6000], Average Denoising Loss: 1.9926
Epoch [150/6000], Average Denoising Loss: 1.9844
Epoch [151/6000], Average Denoising Loss: 1.9922
Epoch [152/6000], Average Denoising Loss: 2.0027
Epoch [153/6000], Average Denoising Loss: 2.0187
Epoch [154/6000], Average Denoising Loss: 2.0126
Epoch [155/6000], Average Denoising Loss: 1.9871
Epoch [156/6000], Average Denoising Loss: 2.0122
Epoch [157/6000], Average Denoising Loss: 2.0166
Epoch [158/6000], Average Denoising Loss: 2.0036
Epoch [159/6000], Average Denoising Loss: 1.9999
Epoch [160/6000], Average Denoising Loss: 2.0104
Epoch [161/6000], Average Denoising Loss: 2.0229
Epoch [162/6000], Average Denoising Loss: 2.0056
Epoch [163/6000], Average Denoising Loss: 2.0057
Epoch [164/6000], Average Denoising Loss: 2.0115
Epoch [165/6000], Average Denoising Loss: 2.0037
Epoch [166/6000], Average Denoising Loss: 2.0211
Epoch [167/6000], Average Denoising Loss: 2.0012
Epoch [168/6000], Average Denoising Loss: 2.0288
Epoch [169/6000], Average Denoising Loss: 2.0162
Epoch [170/6000], Average Denoising Loss: 2.0024
Epoch [171/6000], Average Denoising Loss: 2.0273
Epoch [172/6000], Average Denoising Loss: 2.0284
Epoch [173/6000], Average Denoising Loss: 2.0302
Epoch [174/6000], Average Denoising Loss: 2.0278
Epoch [175/6000], Average Denoising Loss: 1.9901
Epoch [176/6000], Average Denoising Loss: 1.9961
Epoch [177/6000], Average Denoising Loss: 2.0074
Epoch [178/6000], Average Denoising Loss: 1.9910
Epoch [179/6000], Average Denoising Loss: 1.9891
Epoch [180/6000], Average Denoising Loss: 2.0047
Epoch [181/6000], Average Denoising Loss: 2.0151
Epoch [182/6000], Average Denoising Loss: 2.0133
Epoch [183/6000], Average Denoising Loss: 2.0040
Epoch [184/6000], Average Denoising Loss: 1.9940
Epoch [185/6000], Average Denoising Loss: 2.0008
Epoch [186/6000], Average Denoising Loss: 2.0213
Epoch [187/6000], Average Denoising Loss: 2.0241
Epoch [188/6000], Average Denoising Loss: 2.0006
Epoch [189/6000], Average Denoising Loss: 2.0074
Epoch [190/6000], Average Denoising Loss: 2.0188
Epoch [191/6000], Average Denoising Loss: 1.9938
Epoch [192/6000], Average Denoising Loss: 2.0118
Epoch [193/6000], Average Denoising Loss: 1.9789
Epoch [194/6000], Average Denoising Loss: 2.0047
Epoch [195/6000], Average Denoising Loss: 2.0112
Epoch [196/6000], Average Denoising Loss: 2.0046
Epoch [197/6000], Average Denoising Loss: 1.9872
Epoch [198/6000], Average Denoising Loss: 2.0130
Epoch [199/6000], Average Denoising Loss: 1.9912
Epoch [200/6000], Average Denoising Loss: 1.9765
Epoch [201/6000], Average Denoising Loss: 1.9982
Epoch [202/6000], Average Denoising Loss: 1.9983
Epoch [203/6000], Average Denoising Loss: 2.0119
Epoch [204/6000], Average Denoising Loss: 2.0026
Epoch [205/6000], Average Denoising Loss: 1.9901
Epoch [206/6000], Average Denoising Loss: 2.0053
Epoch [207/6000], Average Denoising Loss: 2.0131
Epoch [208/6000], Average Denoising Loss: 2.0066
Epoch [209/6000], Average Denoising Loss: 1.9830
Epoch [210/6000], Average Denoising Loss: 2.0359
Epoch [211/6000], Average Denoising Loss: 2.0147
Epoch [212/6000], Average Denoising Loss: 1.9720
Epoch [213/6000], Average Denoising Loss: 1.9730
Epoch [214/6000], Average Denoising Loss: 1.9968
Epoch [215/6000], Average Denoising Loss: 2.0224
Epoch [216/6000], Average Denoising Loss: 2.0234
Epoch [217/6000], Average Denoising Loss: 2.0124
Epoch [218/6000], Average Denoising Loss: 2.0068
Epoch [219/6000], Average Denoising Loss: 1.9875
Epoch [220/6000], Average Denoising Loss: 1.9944
Epoch [221/6000], Average Denoising Loss: 1.9959
Epoch [222/6000], Average Denoising Loss: 2.0008
Epoch [223/6000], Average Denoising Loss: 2.0094
Epoch [224/6000], Average Denoising Loss: 1.9727
Epoch [225/6000], Average Denoising Loss: 1.9837
Epoch [226/6000], Average Denoising Loss: 1.9722
Epoch [227/6000], Average Denoising Loss: 1.9943
Epoch [228/6000], Average Denoising Loss: 1.9809
Epoch [229/6000], Average Denoising Loss: 1.9746
Epoch [230/6000], Average Denoising Loss: 1.9839
Epoch [231/6000], Average Denoising Loss: 2.0076
Epoch [232/6000], Average Denoising Loss: 2.0027
Epoch [233/6000], Average Denoising Loss: 1.9885
Epoch [234/6000], Average Denoising Loss: 1.9771
Epoch [235/6000], Average Denoising Loss: 1.9953
Epoch [236/6000], Average Denoising Loss: 2.0298
Epoch [237/6000], Average Denoising Loss: 1.9901
Epoch [238/6000], Average Denoising Loss: 2.0065
Epoch [239/6000], Average Denoising Loss: 1.9617
Epoch [240/6000], Average Denoising Loss: 2.0330
Epoch [241/6000], Average Denoising Loss: 2.0321
Epoch [242/6000], Average Denoising Loss: 1.9900
Epoch [243/6000], Average Denoising Loss: 1.9693
Epoch [244/6000], Average Denoising Loss: 2.0226
Epoch [245/6000], Average Denoising Loss: 2.0042
Epoch [246/6000], Average Denoising Loss: 2.0066
Epoch [247/6000], Average Denoising Loss: 2.0127
Epoch [248/6000], Average Denoising Loss: 1.9953
Epoch [249/6000], Average Denoising Loss: 2.0089
Epoch [250/6000], Average Denoising Loss: 2.0291
Epoch [251/6000], Average Denoising Loss: 1.9732
Epoch [252/6000], Average Denoising Loss: 1.9945
Epoch [253/6000], Average Denoising Loss: 1.9806
Epoch [254/6000], Average Denoising Loss: 2.0153
Epoch [255/6000], Average Denoising Loss: 2.0025
Epoch [256/6000], Average Denoising Loss: 1.9861
Epoch [257/6000], Average Denoising Loss: 2.0226
Epoch [258/6000], Average Denoising Loss: 1.9889
Epoch [259/6000], Average Denoising Loss: 2.0166
Epoch [260/6000], Average Denoising Loss: 2.0104
Epoch [261/6000], Average Denoising Loss: 1.9792
Epoch [262/6000], Average Denoising Loss: 2.0039
Epoch [263/6000], Average Denoising Loss: 2.0100
Epoch [264/6000], Average Denoising Loss: 1.9836
Epoch [265/6000], Average Denoising Loss: 1.9609
Epoch [266/6000], Average Denoising Loss: 2.0019
Epoch [267/6000], Average Denoising Loss: 2.0281
Epoch [268/6000], Average Denoising Loss: 1.9994
Epoch [269/6000], Average Denoising Loss: 1.9965
Epoch [270/6000], Average Denoising Loss: 2.0107
Epoch [271/6000], Average Denoising Loss: 2.0221
Epoch [272/6000], Average Denoising Loss: 1.9882
Epoch [273/6000], Average Denoising Loss: 1.9920
Epoch [274/6000], Average Denoising Loss: 2.0108
Epoch [275/6000], Average Denoising Loss: 1.9910
Epoch [276/6000], Average Denoising Loss: 2.0026
Epoch [277/6000], Average Denoising Loss: 2.0070
Epoch [278/6000], Average Denoising Loss: 2.0203
Epoch [279/6000], Average Denoising Loss: 1.9871
Epoch [280/6000], Average Denoising Loss: 1.9900
Epoch [281/6000], Average Denoising Loss: 2.0180
Epoch [282/6000], Average Denoising Loss: 2.0063
Epoch [283/6000], Average Denoising Loss: 1.9740
Epoch [284/6000], Average Denoising Loss: 1.9909
Epoch [285/6000], Average Denoising Loss: 2.0309
Epoch [286/6000], Average Denoising Loss: 1.9826
Epoch [287/6000], Average Denoising Loss: 1.9963
Epoch [288/6000], Average Denoising Loss: 2.0242
Epoch [289/6000], Average Denoising Loss: 2.0117
Epoch [290/6000], Average Denoising Loss: 1.9743
Epoch [291/6000], Average Denoising Loss: 2.0172
Epoch [292/6000], Average Denoising Loss: 1.9994
Epoch [293/6000], Average Denoising Loss: 1.9869
Epoch [294/6000], Average Denoising Loss: 1.9589
Epoch [295/6000], Average Denoising Loss: 2.0257
Epoch [296/6000], Average Denoising Loss: 2.0179
Epoch [297/6000], Average Denoising Loss: 1.9937
Epoch [298/6000], Average Denoising Loss: 2.0083
Epoch [299/6000], Average Denoising Loss: 1.9960
Epoch [300/6000], Average Denoising Loss: 2.0094
Epoch: 300 - Generating classifier weights using diffusion model for evaluation...
Epoch: 300 - Generated weights for 2 diffusion-based linear layer(s).
Epoch: 300 Acc: 0.1153 (Val)
Epoch: 300 Acc: 0.1967 (Test)
Epoch [301/6000], Average Denoising Loss: 2.0018
Epoch [302/6000], Average Denoising Loss: 1.9868
Epoch [303/6000], Average Denoising Loss: 2.0060
Epoch [304/6000], Average Denoising Loss: 2.0059
Epoch [305/6000], Average Denoising Loss: 2.0144
Epoch [306/6000], Average Denoising Loss: 1.9885
Epoch [307/6000], Average Denoising Loss: 1.9985
Epoch [308/6000], Average Denoising Loss: 2.0317
Epoch [309/6000], Average Denoising Loss: 1.9956
Epoch [310/6000], Average Denoising Loss: 2.0241
Epoch [311/6000], Average Denoising Loss: 1.9998
Epoch [312/6000], Average Denoising Loss: 2.0274
Epoch [313/6000], Average Denoising Loss: 2.0225
Epoch [314/6000], Average Denoising Loss: 2.0130
Epoch [315/6000], Average Denoising Loss: 1.9921
Epoch [316/6000], Average Denoising Loss: 2.0129
Epoch [317/6000], Average Denoising Loss: 1.9990
Epoch [318/6000], Average Denoising Loss: 2.0153
Epoch [319/6000], Average Denoising Loss: 2.0077
Epoch [320/6000], Average Denoising Loss: 1.9680
Epoch [321/6000], Average Denoising Loss: 1.9869
Epoch [322/6000], Average Denoising Loss: 1.9683
Epoch [323/6000], Average Denoising Loss: 2.0003
Epoch [324/6000], Average Denoising Loss: 2.0110
Epoch [325/6000], Average Denoising Loss: 2.0277
Epoch [326/6000], Average Denoising Loss: 2.0008
Epoch [327/6000], Average Denoising Loss: 2.0121
Epoch [328/6000], Average Denoising Loss: 1.9854
Epoch [329/6000], Average Denoising Loss: 2.0079
Epoch [330/6000], Average Denoising Loss: 1.9966
Epoch [331/6000], Average Denoising Loss: 1.9878
Epoch [332/6000], Average Denoising Loss: 2.0158
Epoch [333/6000], Average Denoising Loss: 2.0049
Epoch [334/6000], Average Denoising Loss: 2.0079
Epoch [335/6000], Average Denoising Loss: 2.0002
Epoch [336/6000], Average Denoising Loss: 2.0138
Epoch [337/6000], Average Denoising Loss: 2.0037
Epoch [338/6000], Average Denoising Loss: 1.9886
Epoch [339/6000], Average Denoising Loss: 1.9998
Epoch [340/6000], Average Denoising Loss: 1.9699
Epoch [341/6000], Average Denoising Loss: 2.0087
Epoch [342/6000], Average Denoising Loss: 2.0210
Epoch [343/6000], Average Denoising Loss: 1.9886
Epoch [344/6000], Average Denoising Loss: 2.0091
Epoch [345/6000], Average Denoising Loss: 2.0038
Epoch [346/6000], Average Denoising Loss: 2.0002
Epoch [347/6000], Average Denoising Loss: 2.0194
Epoch [348/6000], Average Denoising Loss: 2.0046
Epoch [349/6000], Average Denoising Loss: 1.9731
Epoch [350/6000], Average Denoising Loss: 2.0125
Epoch [351/6000], Average Denoising Loss: 2.0410
Epoch [352/6000], Average Denoising Loss: 1.9797
Epoch [353/6000], Average Denoising Loss: 1.9972
Epoch [354/6000], Average Denoising Loss: 2.0028
Epoch [355/6000], Average Denoising Loss: 1.9768
Epoch [356/6000], Average Denoising Loss: 1.9386
Epoch [357/6000], Average Denoising Loss: 2.0083
Epoch [358/6000], Average Denoising Loss: 2.0253
Epoch [359/6000], Average Denoising Loss: 1.9989
Epoch [360/6000], Average Denoising Loss: 2.0042
Epoch [361/6000], Average Denoising Loss: 2.0007
Epoch [362/6000], Average Denoising Loss: 2.0064
Epoch [363/6000], Average Denoising Loss: 2.0217
Epoch [364/6000], Average Denoising Loss: 1.9750
Epoch [365/6000], Average Denoising Loss: 1.9976
Epoch [366/6000], Average Denoising Loss: 2.0032
Epoch [367/6000], Average Denoising Loss: 1.9978
Epoch [368/6000], Average Denoising Loss: 1.9999
Epoch [369/6000], Average Denoising Loss: 2.0135
Epoch [370/6000], Average Denoising Loss: 2.0360
Epoch [371/6000], Average Denoising Loss: 2.0114
Epoch [372/6000], Average Denoising Loss: 1.9964
Epoch [373/6000], Average Denoising Loss: 1.9572
Epoch [374/6000], Average Denoising Loss: 2.0175
Epoch [375/6000], Average Denoising Loss: 2.0031
Epoch [376/6000], Average Denoising Loss: 2.0224
Epoch [377/6000], Average Denoising Loss: 2.0075
Epoch [378/6000], Average Denoising Loss: 1.9727
Epoch [379/6000], Average Denoising Loss: 2.0052
Epoch [380/6000], Average Denoising Loss: 2.0121
Epoch [381/6000], Average Denoising Loss: 1.9989
Epoch [382/6000], Average Denoising Loss: 1.9819
Epoch [383/6000], Average Denoising Loss: 1.9830
